phenotype	description	variable_type	source	n_non_missing	n_missing	n_controls	n_cases	PHESANT_transformation	notes
20002_1536	Non-cancer illness code, self-reported: spinal stenosis	binary	phesant	361141	53	361031	110	20002_0 || CAT-MUL-BINARY-VAR 1536 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1536 but with missing value (<0) || sample 361031/110(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1541	Non-cancer illness code, self-reported: carpal tunnel syndrome	binary	phesant	361141	53	360536	605	20002_0 || CAT-MUL-BINARY-VAR 1541 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1541 but with missing value (<0) || sample 360536/605(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1550	Non-cancer illness code, self-reported: lichen sclerosis	binary	phesant	361141	53	361018	123	20002_0 || CAT-MUL-BINARY-VAR 1550 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1550 but with missing value (<0) || sample 361018/123(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1614	Non-cancer illness code, self-reported: stress	binary	phesant	361141	53	360713	428	20002_0 || CAT-MUL-BINARY-VAR 1614 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1614 but with missing value (<0) || sample 360713/428(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1616	Non-cancer illness code, self-reported: insomnia	binary	phesant	361141	53	360786	355	20002_0 || CAT-MUL-BINARY-VAR 1616 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1616 but with missing value (<0) || sample 360786/355(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20002_1683	Non-cancer illness code, self-reported: benign neuroma	binary	phesant	361141	53	361021	120	20002_0 || CAT-MUL-BINARY-VAR 1683 || Indicator name x135_0_0 || Remove indicator var NAs: 53 || Remove indicator var <0: 0 || Removed 0 examples != 1683 but with missing value (<0) || sample 361021/120(361141) ||	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as "unclassifiable".
20019_irnt	Speech-reception-threshold (SRT) estimate (left)	continuous_irnt	phesant	114811	246383	NA	NA	20019_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||	SRT is the Speech Reception Threshold, defined here as the signal-to-noise ratio at which half of the presented speech can be understood correctly. This was estimated as the value of the last round of the signal-to-noise ratio measurement for participants who completed all 15 rounds of the test (left-ear).
20021_irnt	Speech-reception-threshold (SRT) estimate (right)	continuous_irnt	phesant	114720	246474	NA	NA	20021_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT ||	SRT is the Speech Reception Threshold, defined here as the signal-to-noise ratio at which half of the presented speech can be understood correctly. This was estimated as the value of the last round of the signal-to-noise ratio measurement for participants who completed all 15 rounds of the test (right-ear).
20107_10	Illnesses of father: Alzheimer's disease/dementia	binary	phesant	312666	48528	297644	15022	20107_0 || CAT-MUL-BINARY-VAR 10 || NO_NAN Remove NA participants 9656 || Removed 38872 examples != 10 but with missing value (<0) || sample 297644/15022(312666) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Has/did your father ever suffer from? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses.
20107_11	Illnesses of father: Parkinson's disease	binary	phesant	312104	49090	304061	8043	20107_0 || CAT-MUL-BINARY-VAR 11 || NO_NAN Remove NA participants 9656 || Removed 39434 examples != 11 but with missing value (<0) || sample 304061/8043(312104) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Has/did your father ever suffer from? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses.
20107_12	Illnesses of father: Severe depression	binary	phesant	312437	48757	300516	11921	20107_0 || CAT-MUL-BINARY-VAR 12 || NO_NAN Remove NA participants 9656 || Removed 39101 examples != 12 but with missing value (<0) || sample 300516/11921(312437) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Has/did your father ever suffer from? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your father suffered from any of the listed illnesses please select Do not know. If you know your father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural father was still alive or had died, as defined by their answers to ~F1797~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting Father illnesses.
2010	Suffer from 'nerves'	binary	phesant	348082	13112	274144	73938	2010_0|| CAT-SINGLE || Inc(>=10): 0(274144) || Inc(>=10): 1(73938) || CAT-SINGLE-BINARY || sample 274144/73938(348082) ||	ACE touchscreen question "Do you suffer from 'nerves'?" If the participant activated the Help button they were shown the message: Work through these questions quickly and do not think about the exact meaning of the question 
20110_10	Illnesses of mother: Alzheimer's disease/dementia	binary	phesant	331041	30153	302534	28507	20110_0 || CAT-MUL-BINARY-VAR 10 || NO_NAN Remove NA participants 6165 || Removed 23988 examples != 10 but with missing value (<0) || sample 302534/28507(331041) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Has/did your mother ever suffer from? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses.
20110_11	Illnesses of mother: Parkinson's disease	binary	phesant	330077	31117	324634	5443	20110_0 || CAT-MUL-BINARY-VAR 11 || NO_NAN Remove NA participants 6165 || Removed 24952 examples != 11 but with missing value (<0) || sample 324634/5443(330077) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Has/did your mother ever suffer from? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses.
20110_12	Illnesses of mother: Severe depression	binary	phesant	330653	30541	308649	22004	20110_0 || CAT-MUL-BINARY-VAR 12 || NO_NAN Remove NA participants 6165 || Removed 24376 examples != 12 but with missing value (<0) || sample 308649/22004(330653) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Has/did your mother ever suffer from? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. If you are not sure if your mother suffered from any of the listed illnesses please select Do not know. If you know your mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their natural mother was still alive or had died, as defined by their answers to ~F1835~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting Mother illnesses.
20111_10	Illnesses of siblings: Alzheimer's disease/dementia	binary	phesant	279062	82132	277453	1609	20111_0 || CAT-MUL-BINARY-VAR 10 || NO_NAN Remove NA participants 52692 || Removed 29441 examples != 10 but with missing value (<0) || sample 277453/1609(279062) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~.
20111_11	Illnesses of siblings: Parkinson's disease	binary	phesant	279018	82176	277554	1464	20111_0 || CAT-MUL-BINARY-VAR 11 || NO_NAN Remove NA participants 52692 || Removed 29485 examples != 11 but with missing value (<0) || sample 277554/1464(279018) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~.
20111_12	Illnesses of siblings: Severe depression	binary	phesant	279858	81336	259751	20107	20111_0 || CAT-MUL-BINARY-VAR 12 || NO_NAN Remove NA participants 52692 || Removed 28645 examples != 12 but with missing value (<0) || sample 259751/20107(279858) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Have any of your brothers or sisters suffered from any of the following diseases? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for blood relations only. Include any sisters or brothers who have died. If you are not sure if your sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one sister or brother has suffered from any of the listed illnesses, you only need to select the illness once. The information was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~ and that they had at least one natural brother or sister, as defined by their answers to ~F1873~ and ~F1883~.
20112_10	Illnesses of adopted father: Alzheimer's disease/dementia	binary	phesant	2562	358632	2416	146	20112_0 || CAT-MUL-BINARY-VAR 10 || NO_NAN Remove NA participants 357687 || Removed 947 examples != 10 but with missing value (<0) || sample 2416/146(2562) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Has/did your ADOPTED father ever suffer from? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for your adopted father only. If you are not sure if your adopted father suffered from any of the listed illnesses please select Do not know. If you know your adopted father suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who they were adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their adopted father was still alive or had died, as defined by their answers to ~F3912~. Note that although Breast cancer is present in ~C1010~, participants were not presented with this option when selecting adopted Father illnesses.
20113_10	Illnesses of adopted mother: Alzheimer's disease/dementia	binary	phesant	2935	358259	2654	281	20113_0 || CAT-MUL-BINARY-VAR 10 || NO_NAN Remove NA participants 357382 || Removed 881 examples != 10 but with missing value (<0) || sample 2654/281(2935) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Has/did your ADOPTED mother ever suffer from? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for your adopted mother only. If you are not sure if your adopted mother suffered from any of the listed illnesses please select Do not know. If you know your adopted mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their adopted mother was still alive or had died, as defined by their answers to ~F3942~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting adopted Mother illnesses.
20113_12	Illnesses of adopted mother: Severe depression	binary	phesant	2922	358272	2680	242	20113_0 || CAT-MUL-BINARY-VAR 12 || NO_NAN Remove NA participants 357382 || Removed 895 examples != 12 but with missing value (<0) || sample 2680/242(2922) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Has/did your ADOPTED mother ever suffer from? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for your adopted mother only. If you are not sure if your adopted mother suffered from any of the listed illnesses please select Do not know. If you know your adopted mother suffered from certain listed illnesses but are unsure about others, only select the ones you are sure about. The information was collected from participants who indicated they were adopted as a child, as defined by their answers to ~F1767~ and who indicated whether their adopted mother was still alive or had died, as defined by their answers to ~F3942~. Note that although Prostate cancer is present in ~C1010~, participants were not presented with this option when selecting adopted Mother illnesses.
20114_12	Illnesses of adopted siblings: Severe depression	binary	phesant	1819	359375	1672	147	20114_0 || CAT-MUL-BINARY-VAR 12 || NO_NAN Remove NA participants 358593 || Removed 787 examples != 12 but with missing value (<0) || sample 1672/147(1819) ||	This field contains the combined results of 2 ACE touchscreen questions, both asked "Have any of your ADOPTED brothers or sisters suffered from any of the following diseases? (You can select more than one answer)" for different sets of illnesses. For convenience, the illnesses were arbitrarily divided into two sets: Group 1 : Heart disease, Stroke, High blood pressure, Chronic bronchitis/emphysema, Alzheimer's disease/dementia, Diabetes. Group 2 : Parkinson's disease, Severe Depression, Lung cancer, Bowel cancer, Prostate cancer, Breast cancer. If any of codes -11, -13 or -17 were selected then no additional Group 1 choices were allowed. If any of codes -21, -23 or -27 were selected then no additional Group 2 choices were allowed. If the participant activated the Help button they were shown the message: Answer this question for adopted brothers and sisters only. Include any adopted sisters or brothers who have died. If you are not sure if your adopted sisters or brothers suffered from any of the listed illnesses please select Do not know. If more than one adopted sister or brother has suffered from any of the listed illnesses, you only need to select the illness once. The information was collected from participants who indicated they were adopted as a child, as defined by their answers to ~F1767~ and that they had at least one adopted brother or sister, as defined by their answers to ~F3972~ and ~F3982~.
20122	Bipolar disorder status	binary	phesant	1064	360130	508	556	20122_0|| CAT-SINGLE || Inc(>=10): 1(556) || Inc(>=10): 2(508) || CAT-SINGLE-BINARY || sample 556/508(1064) ||	This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab.
20126_0	Bipolar and major depression status: No Bipolar or Depression	binary	phesant	86895	274299	24070	62825	20126_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 0  || Inc(>=10): 0(62825) ||	Bipolar and major depression status. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab.
20126_1	Bipolar and major depression status: Bipolar I Disorder	binary	phesant	86895	274299	86339	556	20126_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 1  || Inc(>=10): 1(556) ||	Bipolar and major depression status. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab.
20126_2	Bipolar and major depression status: Bipolar II Disorder	binary	phesant	86895	274299	86387	508	20126_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 2  || Inc(>=10): 2(508) ||	Bipolar and major depression status. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab.
20126_3	Bipolar and major depression status: Probable Recurrent major depression (severe)	binary	phesant	86895	274299	80591	6304	20126_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 3  || Inc(>=10): 3(6304) ||	Bipolar and major depression status. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab.
20126_4	Bipolar and major depression status: Probable Recurrent major depression (moderate)	binary	phesant	86895	274299	75993	10902	20126_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 4  || Inc(>=10): 4(10902) ||	Bipolar and major depression status. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab.
20126_5	Bipolar and major depression status: Single Probable major depression episode	binary	phesant	86895	274299	81095	5800	20126_0 || CAT-SINGLE || CAT-SINGLE-BINARY-VAR: 5  || Inc(>=10): 5(5800) ||	Bipolar and major depression status. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab.
20127_irnt	Neuroticism score	continuous_irnt	phesant	293006	68188	NA	NA	20127_0|| INTEGER || CONTINUOUS || IRNT ||	This is an externally derived summary score of neuroticism, based on 12 neurotic behaviour domains as reported from fields 1920, 1930, 1940, 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020 and 2030 from the touchscreen questionnaire at baseline. Participants were assessed for twelve domains of neurotic behaviours via the touchscreen questionnaire. Questions included: Does your mood often go up and down? Do you ever feel 'just miserable' for no reason? Are you an irritable person? Are your feelings easily hurt? Do you often feel 'fed-up'? Would you call yourself a nervous person? Are you a worrier? Would you call yourself tense or 'highly strung'? Do you worry too long after an embarrassing experience? Do you suffer from 'nerves'? Do you often feel lonely? Are you often troubled by feelings of guilt? Participants could answer Yes, No, Do not know or Prefer not to answer. This field summarises the number of Yes answers across these twelve questions into a single integer score for each participant. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab.
20417	Tense, sore, or aching muscles during worst period of anxiety	binary	phesant	33301	327893	20305	12996	20417_0|| CAT-SINGLE || Inc(>=10): 1(12996) || Inc(>=10): 0(20305) || CAT-SINGLE-BINARY || sample 20305/12996(33301) ||	Question asked: "When you were worried or anxious, were you also: Having tense, sore, or aching muscles?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20418	Impact on normal roles during worst period of anxiety	ordinal	phesant	36505	324689	NA	NA	20418_0|| CAT-SINGLE || Inc(>=10): 1(9626) || Inc(>=10): 2(13242) || Inc(>=10): 3(10685) || Inc(>=10): 0(2952) || ordered || CAT-ORD || order: 0|1|2|3 || num categories: 4 ||	Question asked: "Think about your roles at the time of this episode, including study / employment, childcare and housework, leisure pursuits. How much did these problems interfere with your life or activities?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20419	Difficulty concentrating during worst period of anxiety	binary	phesant	34879	326315	8479	26400	20419_0|| CAT-SINGLE || Inc(>=10): 1(26400) || Inc(>=10): 0(8479) || CAT-SINGLE-BINARY || sample 8479/26400(34879) ||	Question asked: "When you were worried or anxious, were you also: Having difficulty keeping your mind on what you were doing?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20421	Ever felt worried, tense, or anxious for most of a month or longer	binary	phesant	110315	250879	80964	29351	20421_0|| CAT-SINGLE || Inc(>=10): 1(29351) || Inc(>=10): 0(80964) || CAT-SINGLE-BINARY || sample 80964/29351(110315) ||	Question asked: "Have you ever had a period lasting one month or longer when most of the time you felt worried, tense, or anxious?"
20422	More irritable than usual during worst period of anxiety	binary	phesant	33425	327769	9411	24014	20422_0|| CAT-SINGLE || Inc(>=10): 1(24014) || Inc(>=10): 0(9411) || CAT-SINGLE-BINARY || sample 9411/24014(33425) ||	Question asked: "When you were worried or anxious, were you also: More irritable than usual?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20423	Keyed up or on edge during worst period of anxiety	binary	phesant	34806	326388	7029	27777	20423_0|| CAT-SINGLE || Inc(>=10): 1(27777) || Inc(>=10): 0(7029) || CAT-SINGLE-BINARY || sample 7029/27777(34806) ||	Question asked: "When you were worried or anxious, were you also: Keyed up or on edge?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20426	Restless during period of worst anxiety	binary	phesant	33864	327330	13536	20328	20426_0|| CAT-SINGLE || Inc(>=10): 1(20328) || Inc(>=10): 0(13536) || CAT-SINGLE-BINARY || sample 13536/20328(33864) ||	Question asked: "When you were worried or anxious, were you also: Restless?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20427	Frequent trouble falling or staying asleep during worst period of anxiety	binary	phesant	35584	325610	6455	29129	20427_0|| CAT-SINGLE || Inc(>=10): 1(29129) || Inc(>=10): 0(6455) || CAT-SINGLE-BINARY || sample 6455/29129(35584) ||	Question asked: "When you were worried or anxious, were you also: Often having trouble falling or staying asleep?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20428	Professional informed about anxiety	binary	phesant	36366	324828	14128	22238	20428_0|| CAT-SINGLE || Inc(>=10): 1(22238) || Inc(>=10): 0(14128) || CAT-SINGLE-BINARY || sample 14128/22238(36366) ||	Question asked: "Did you ever tell a professional about these problems (medical doctor, psychologist, social worker, counsellor, nurse, clergy, or other helping professional)?" Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
20429	Easily tired during worst period of anxiety	binary	phesant	34121	327073	9577	24544	20429_0|| CAT-SINGLE || Inc(>=10): 1(24544) || Inc(>=10): 0(9577) || CAT-SINGLE-BINARY || sample 9577/24544(34121) ||	Question asked: "When you were worried or anxious, were you also: Easily tired?" uestion was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.
